OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
2255,Backbone,Lane,FALLBROOK AV,VICTORY BL,SYLVAN ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2256,Backbone,Lane,FALLBROOK AV,SYLVAN ST,ERWIN ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2257,Backbone,Lane,FALLBROOK AV,OXNARD ST,CALIFA ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2258,Backbone,Lane,FALLBROOK AV,CLARENDON ST,MARIANO ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2259, ,Buffer Bike Lane,VINELAND AV,AQUA VISTA ST,BLUFFSIDE DR,,2015/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2260, ,Lane,BURBANK BL,ALLOTT AV,VENTURA CANYON AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2261, ,Lane,BURBANK BL,ETHEL AV,FULTON AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2262, ,Lane,BURBANK BL,COLDWATER CANYON AV,ETHEL AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2263, ,Buffer Bike Lane,VINELAND AV,HUSTON ST,PEACH GROVE ST,,2015/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2264, ,Buffer Bike Lane,VINELAND AV,MAGNOLIA BL,HARTSOOK ST,,2015/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2265,Backbone,Protected Bike Lane,RESEDA BL,DEARBORN ST,NORDHOFF ST,,2010/09/19 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2266, ,Lane,SAN PASCUAL AV,COMET ST,COMET ST,,2012/12/16 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2267, ,Route,RIVERSIDE DR,SAN FERNANDO RD,1200' W/O SAN FERNANDO RD,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2268, ,Lane,GRIFFIN AV,MOZART ST,DARWIN AV,,2013/04/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2269, ,Route,BROADWAY,62ND ST,GAGE AV,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2270, ,Protected Bike Lane,BROADWAY,89TH ST,89TH ST,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2271, ,Route,BROADWAY,84TH ST,84TH PL,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2272, ,Route,BROADWAY,81ST ST,82ND ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2273, ,Protected Bike Lane,BROADWAY,90TH ST,91ST ST,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2274, ,Route,BROADWAY,83RD ST,84TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2275, ,Protected Bike Lane,BROADWAY,91ST ST,91ST ST,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2276, ,Protected Bike Lane,BROADWAY,91ST ST,91ST PL,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2277, ,Route,BROADWAY,43RD PL,VERNON AV,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2278, ,Lane,PARTHENIA ST,TOBIAS AV,CEDROS AV,,2013/03/19 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2279, ,Lane,TAMPA AV,CHATSWORTH ST,ATLANTA AV,,2012/09/12 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2280, ,Lane,HUNTINGTON DR,LOWELL AV,POPLAR BL,,2012/06/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2281, ,Lane,HUNTINGTON DR,PORTOLA AV,PUEBLO AV,,2012/06/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2282, ,Lane,IMPERIAL HY,SPRING ST,BROADWAY,,2016/08/19 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2283, ,Lane,IMPERIAL HY,SUCCESS AV,CENTRAL AV,,2016/08/19 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2284, ,Lane,SAN VICENTE BL,MONTANA AV,SALTAIR AV,,2014/03/09 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2285, ,Lane,GRIFFITH AV,22ND ST,23RD ST,,2016/07/11 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2286,Backbone,Protected Bike Lane,CENTRAL AV,102ND ST,103RD ST,,2023/01/21 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2287,Backbone,Protected Bike Lane,CENTRAL AV,108TH ST,109TH ST,,2023/04/27 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2288,Backbone,Protected Bike Lane,CENTRAL AV,108TH ST,108TH ST,,2023/04/27 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2289,Backbone,Lane,CHANDLER BL,FAIR AV,LANKERSHIM BL,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2290,Backbone,Route,CRESCENT AV,19TH ST,20TH ST,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
2291,Backbone,Lane,CYPRESS AV,SILVER ST,MACON ST,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2292,Backbone,Buffer Bike Lane,CYPRESS AV,ARVIA ST,ARVIA ST,,2022/01/05 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2293,Backbone,Buffer Bike Lane,CYPRESS AV,ALICE ST,GRANADA ST,,2022/01/05 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2294,Backbone,Lane,EAGLE ROCK BL,CORLISS ST,CORLISS ST,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2295,Backbone,Lane,SEPULVEDA BL,CLOVER AV,QUEENSLAND ST,,2012/04/06 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2296,Backbone,Lane,SEPULVEDA BL,CLOVER AV,CLOVER AV,,2012/04/06 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2297,Backbone,Lane,VAN NUYS BL,EMELITA ST,HATTERAS ST,,2012/04/15 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2298,Backbone,Lane,VAN NUYS BL,BESSEMER ST,AETNA ST,,2012/04/15 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2299,Backbone,Lane,WHITE OAK AV,SATICOY ST,VALERIO ST,,2012/05/06 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2300,Backbone,Lane,MAIN ST,93RD ST,94TH ST,,2012/04/28 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2301,Backbone,Lane,MAIN ST,107TH ST,108TH ST,,2012/04/28 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2302,Neighborhood,Lane,OXNARD ST,MCDONIE AV,AETNA ST/LARAMIE AV,,2013/11/05 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2303,Neighborhood,Lane,OXNARD ST,420' W/O WINNETKA AV,440' W/O WINNETKA AV,,2013/11/05 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2304,Backbone,Lane,LAUREL CANYON BL,VANOWEN ST,ARCHWOOD ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2305,Backbone,Lane,LAUREL CANYON BL,SHERMAN WY,VOSE ST,,2009/06/30 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2306,Backbone,Lane,LAUREL CANYON BL,HART ST,DEHOUGNE ST,,2009/06/30 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2307,Backbone,Lane,LAUREL CANYON BL,SATICOY ST,RUNNYMEDE ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2308, ,Buffer Bike Lane,VIA MARISOL,EBEY AV,LOMITAS DR,,2012/05/13 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2309,Backbone,Lane,LORENA ST,GLEASON AV,2ND ST,,2012/05/20 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2310,Backbone,Lane,LORENA ST,CESAR E. CHAVEZ AV/BROOKLYN PL,1ST ST,,2012/05/20 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2311,Backbone,Route,LORENA ST,HUNTER ST,HUNTER ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2312,Backbone,Route,LORENA ST,SISKIYOU ST,SISKIYOU ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2313,Backbone,Lane,SUMMERLAND AV,MEYLER ST,BANDINI ST,,2012/05/20 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2314, ,Lane,VINELAND AV,SHERMAN WY,VANOWEN ST,,2012/05/21 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2315, ,Lane,VINELAND AV,SHERMAN WY,VANOWEN ST,,2012/05/21 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2316,Backbone,Protected Bike Lane,WINNETKA AV,DEVONSHIRE ST,MAYALL ST,,2020/02/21 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2317,,Bicycle Friendly Street,BRUNSWICK AVE,VESELICH AV,LOS FELIZ BL,,2021/12/02 00:00:00+00,,Bicycle Friendly Street,2023/10/17 00:00:00+00
2318,,Bicycle Friendly Street,BRUNSWICK AVE,RIGALI AV,VESELICH AV,,2021/12/02 00:00:00+00,,Bicycle Friendly Street,2023/10/17 00:00:00+00
2319,,Bicycle Friendly Street,BRUNSWICK AVE,CHEVY CHASE DR,VERDANT ST,,2021/12/02 00:00:00+00,,Bicycle Friendly Street,2023/10/17 00:00:00+00
2320,Backbone,Protected Bike Lane,WINNETKA AV,PRAIRIE ST,NORDHOFF ST,,2020/02/21 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2321,Backbone,Protected Bike Lane,NORTH MAIN ST,REPUBLIC ST,ARCADIA ST,,2019/11/22 00:00:00+00,North Central,Protected Bike Lane,2023/10/17 00:00:00+00
2322, ,Lane,FIGUEROA ST,131ST ST,132ND ST,,2012/06/03 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2323, ,Lane,FIGUEROA ST,140TH ST,ROSECRANS AV,,2012/06/03 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2324, ,Lane,FIGUEROA ST,132ND ST,135TH ST,,2012/06/03 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2325,Backbone,Buffer Bike Lane,PASEO DEL MAR,SHEPARD ST,ROXBURY ST,,2014/06/21 00:00:00+00,Harbor,Buffer Bike Lane,2023/10/17 00:00:00+00
2326,Backbone,Lane,VERMONT AV,110TH ST,111TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2327,Backbone,Lane,VERMONT AV,98TH ST,99TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2328,Backbone,Lane,VERMONT AV,91ST ST,92ND ST,,2012/04/26 00:00:00+00,Central/South,Lane,2023/10/17 00:00:00+00
2329,Backbone,Lane,VERMONT AV,97TH ST,98TH ST,,2012/04/26 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2330,Backbone,Lane,VERMONT AV,149TH ST,149TH ST,,2012/06/03 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2331, ,Lane,OHIO AV,WELLESLEY AV,CARMELINA AV,,2012/08/17 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2332, ,Lane,BROAD AV,HARRY BRIDGES BL,AVALON BL,,2012/08/18 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2333, ,Lane,BROAD AV,E ST,D ST,,2012/08/18 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2334, ,Lane,BROAD AV,F ST,E ST,,2012/08/18 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2335,Neighborhood,Lane,WILBUR AV,PRESTON TRAILS AV,PORTER VALLEY DR,,2012/09/07 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2336, ,Lane,ZELZAH AV,ROMAR ST,FULLERFARM ST,,2012/09/09 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2337, ,Lane,TAMPA AV,BLACKHAWK ST,DEVONSHIRE ST,,2012/09/12 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2338, ,Bicycle Friendly Street,YUCCA ST,MCCADDEN PL,HIGHLAND AV,,2012/09/07 00:00:00+00,North Central,Bicycle Friendly Street,2023/10/17 00:00:00+00
2339,Backbone,Lane,WOODMAN AV,GAULT ST,HART ST,,2012/10/14 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2340,Backbone,Lane,WOODMAN AV,BASSETT ST,HARTLAND ST,,2012/10/14 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2341,Neighborhood,Lane,COLFAX AV,HESBY ST,ADDISON ST,,2006/06/16 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2342, ,Lane,WILMINGTON BL,F ST,CRAVEN ST,,2012/12/20 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2343, ,Lane,WILMINGTON BL,D ST,C ST,,2012/12/20 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2344, ,Lane,AVENUE 28,HURON ST,JEFFRIES AV,,2012/12/23 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2345, ,Lane,FOREST AV,CINCINNATI ST,CESAR E. CHAVEZ AV,,2012/12/22 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2346, ,Lane,FOOTHILL BL,PALI AV,CREEMORE DR,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2347, ,Lane,FOOTHILL BL,FLORALITA AV,FLORALITA AV,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2348, ,Lane,FOOTHILL BL,PLAINVIEW AV,APPERSON ST,,2013/01/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2349,Neighborhood,Sharrowed Route,ASTORIA ST,BORDEN AV,FELLOWS AV,,2011/10/02 00:00:00+00,East Valley,Sharrowed Route,2023/10/17 00:00:00+00
2350, ,Lane,TUJUNGA AV,DILLING ST,VENTURA BL,,2013/01/18 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2351,Backbone,Lane,WOODMAN AV,MILBANK ST,MOORPARK ST,,2013/01/18 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2352,Backbone,Lane,MISSION RD,RICHMOND ST,CESAR E. CHAVEZ AV,,2013/01/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2353, ,Lane,FRIES AV,F ST,E ST,,2013/02/03 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2354, ,Lane,28TH ST,PALOMA ST,GRIFFITH AV,,2013/02/03 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2355, ,Lane,28TH ST,NAOMI AV,CENTRAL AV,,2013/02/03 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2356, ,Lane,BURBANK BL,TROOST AV,COLFAX AV,,2013/02/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2357,Neighborhood,Lane,LOYOLA BL,85TH ST,MANCHESTER AV,,2013/02/03 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2358, ,Lane,111TH ST,LA CIENEGA BL,HINDRY AV,,2013/02/10 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2359, ,Lane,EAGLE ROCK BL,MERTON AV,CHICKASAW AV,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2360,Backbone,Lane,EAGLE ROCK BL,YORK BL,LINCOLN AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2361,Backbone,Lane,EAGLE ROCK BL,LINCOLN AV,AVENUE 43,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2362,Backbone,Lane,EAGLE ROCK BL,AVENUE 42,AVENUE 41,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2363,Backbone,Lane,EAGLE ROCK BL,AVENUE 35,AVENUE 35,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2364,Backbone,Lane,EAGLE ROCK BL,AVENUE 37,AVENUE 37,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2365, ,Lane,EAGLE ROCK BL,RIDGEVIEW AV,LANGDALE AV,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2366, ,Lane,EAGLE ROCK BL,LAS COLINAS AV,RIDGEVIEW AV,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2367, ,Lane,EAGLE ROCK BL,LAVERNA AV,NORWALK AV,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2368, ,Buffer Bike Lane,VINELAND AV,WHIPPLE ST,AQUA VISTA ST,,2015/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2369, ,Lane,VINELAND AV,BLUFFSIDE DR,VENTURA BL,,2015/08/28 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2370, ,Lane,BURBANK BL,COLDWATER CANYON AV,ETHEL AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2371, ,Lane,BURBANK BL,VANTAGE AV,BELLINGHAM AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2372, ,Lane,BURBANK BL,IRVINE AV,TROOST AV,,2013/02/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2373, ,Lane,BURBANK BL,BECK AV,LEMP AV,,2013/02/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2374, ,Buffer Bike Lane,VINELAND AV,KLING ST,HORTENSE ST,,2015/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2375, ,Buffer Bike Lane,VINELAND AV,OTSEGO ST,HESBY ST,,2015/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2376,Neighborhood,Lane,GAYLEY AV,LEVERING AV,WEYBURN AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2377,Neighborhood,Route,STRATFORD RD,AVENUE 49,MT PLEASANT ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2378,Neighborhood,Buffer Bike Lane,TEMESCAL CANYON RD,BOWDOIN ST,PACIFIC COAST HY,,2022/12/20 00:00:00+00,Westside,Buffer Bike Lane,2023/10/17 00:00:00+00
2379,Neighborhood,Lane,WILBUR AV,HARNETT ST,BLACKHAWK ST,,2010/11/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2380,Neighborhood,Lane,WILBUR AV,CHATSWORTH ST,HARNETT ST,,2010/11/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2381,Neighborhood,Lane,WOODLEY AV,TULSA ST,CHATSWORTH ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2382,Neighborhood,Lane,WOODLEY AV,TUPPER ST,NORDHOFF ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2383,Neighborhood,Lane,BARRANCA ST,AVENUE 19,AVENUE 18,,2012/01/15 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2384,Backbone,Lane,RIVERSIDE DR,VENTURA CANYON AV,BUFFALO AV,,2011/07/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2385,Backbone,Lane,RIVERSIDE DR,ATOLL AV,LONGRIDGE AV,,2011/07/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2386, ,Lane,25TH ST,MERMAID DR,CL W/O MERMAID DR,,2013/06/17 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2387, ,Lane,WHITE OAK AV,INDEX ST,LAHEY ST,,2013/06/17 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2388, ,Lane,MISSION RD,DUKE ST,BALDWIN ST,,2013/06/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2389, ,Lane,MISSION RD,DUKE ST,BALDWIN ST,,2013/06/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2390,Backbone,Sharrowed Route,VINE ST,AFTON PL,FOUNTAIN AV,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2391,Backbone,Sharrowed Route,VINE ST,CAMERFORD AV,MELROSE AV,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2392,Backbone,Sharrowed Route,VINE ST,ELEANOR AV,ROMAINE ST,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2393,Backbone,Sharrowed Route,VINE ST,SANTA MONICA BL,ELEANOR AV,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2394, ,Lane,GLENDALE BL,BRUNSWICK AV,LARGA AV,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2395,Backbone,Lane,"MARTIN LUTHER KING, JR BL",NICOLET AV,RODEO RD,,2011/05/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2396,Backbone,Lane,"MARTIN LUTHER KING, JR BL",NICOLET AV,RODEO RD,,2011/05/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2397,Backbone,Lane,MOTOR AV,PICO BL,CHEVIOT HILLS RD (RP),,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2398,Backbone,Protected Bike Lane,MANCHESTER AV,SEPULVEDA BL,SEPULVEDA WESTWAY,,2022/05/23 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2399,Neighborhood,Lane,GATEWAY BL,FEDERAL AV,BARRY AV,,2013/02/03 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2400,Backbone,Lane,BURTON WY,HAMEL RD,ARNAZ DR,,2013/01/27 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2401,Backbone,Lane,BURTON WY,SHERBOURNE DR,WILLAMAN DR,,2013/01/27 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2402,Backbone,Lane,BURTON WY,LA CIENEGA BL/SAN VICENTE BL,LE DOUX RD,,2013/01/27 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2403,Backbone,Lane,EXPOSITION BLVD,ST ANDREWS PL,RUTHELEN ST/GRAMERCY PL,,2011/06/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2404,Backbone,Lane,EXPOSITION BLVD,WESTERN AV,ST ANDREWS PL,,2011/06/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2405, ,Protected Bike Lane,BROADWAY,97TH ST,98TH ST,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2406, ,Protected Bike Lane,BROADWAY,99TH ST,CENTURY BL,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2407, ,Protected Bike Lane,BROADWAY,99TH ST,CENTURY BL,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2408,,Protected Bike Lane,AIRPORT BL,MANCHESTER AV,INTERCEPTOR ST,,2021/08/20 00:00:00+00,,Protected Bike Lane,2023/10/17 00:00:00+00
2409, ,Lane,WHITE OAK AV,CHATSWORTH ST,KINGSBURY ST,,2013/06/17 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2410, ,Lane,FIGUEROA ST,182ND ST,PATRICE PL,,2013/06/17 00:00:00+00,South,Lane,2023/10/17 00:00:00+00
2411, ,Lane,EAGLE ROCK BL,FAIR PARK AV,YOSEMITE DR,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2412, ,Lane,EAGLE ROCK BL,ADDISON WY,LAVERNA AV,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2413, ,Lane,EAGLE ROCK BL,YOSEMITE DR,ADDISON WY,,2013/06/17 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2414, ,Lane,SAN PEDRO PL,45TH ST,46TH ST/MAIN ST,,2013/06/30 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2415, ,Lane,SAN PEDRO PL,42ND PL,43RD ST,,2013/06/30 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2416, ,Lane,MISSION RD,BALDWIN ST,PARKSIDE AV,,2013/06/30 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2417,Backbone,Sharrowed Route,VINE ST,SELMA AV,SUNSET BL,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2418, ,Lane,DARWIN AV,GATES ST,EASTLAKE AV,,2013/02/13 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2419, ,Lane,DARWIN AV,WORKMAN ST,DALY ST,,2013/02/13 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2420, ,Lane,DARWIN AV,JOHNSTON ST,GRIFFIN AV,,2013/02/13 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2421, ,Lane,108TH ST,MCKINLEY AV,STANFORD AV,,2013/02/23 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2422, ,Lane,FIGUEROA ST,170TH ST,172ND ST (PVT),,2013/02/23 00:00:00+00,Central/South,Lane,2023/10/17 00:00:00+00
2423, ,Lane,FIGUEROA ST,GARDENA BL,168TH ST,,2013/02/23 00:00:00+00,Central/South,Lane,2023/10/17 00:00:00+00
2424, ,Lane,ALLA RD,BONAPARTE AV,ADMIRAL AV,,2013/02/23 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2425, ,Lane,ALLA RD,PANAMA ST,MARINA FY,,2013/02/23 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2426, ,Lane,MOORPARK ST,BELLAIRE AV,COLDWATER CANYON AV,,2013/03/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2427, ,Lane,VERMONT AV,77TH ST,77TH ST,,2013/03/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2428, ,Lane,ROWENA AV,GLENDALE BL,ROKEBY ST,,2013/03/11 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
